NCT00004984,Inclusion,"individuals 3-45 years old who have an immediate family member with type 1 diabetes (such as a child, parent or sibling)","<VL Label=individuals Source=ngram>individuals</VL> <VML Logic=greater_equal Unit=years>3</VML> - <VML Logic=lower_equal Unit=years>45</VML> old who have an immediate family member with type 1 diabetes ( such as a child, parent or sibling ) ","[['individuals', '>=', '3', 'years'], ['individuals', '<=', '45', 'years']]"
NCT00004984,Inclusion,"individuals 3-20 years old who have an extended family member with type 1 diabetes (such as a cousin, niece, nephew, aunt, uncle, grandparent or half-sibling)","<VL Label=individuals Source=ngram>individuals</VL> <VML Logic=greater_equal Unit=years>3</VML> - <VML Logic=lower_equal Unit=years>20</VML> old who have an extended family member with type 1 diabetes ( such as a cousin, niece, nephew, aunt, uncle, grandparent or half-sibling ) ","[['individuals', '>=', '3', 'years'], ['individuals', '<=', '20', 'years']]"
NCT00005665,Exclusion,patients below the age of 3 or over 25.,patients below the <VL Label=age Source=UMLS>age</VL> of <VML Logic=equal Unit=>3</VML> or <VML Logic=greater Unit=>25</VML> .,"[['age', '=', '3', ''], ['age', '>', '25', '']]"
NCT00021788,Inclusion,candidates must be between the ages of 18 and 65,<VL Label=candidates must be between the ages Source=ngram>candidates must be between the ages</VL> <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>65</VML> ,"[['candidates must be between the ages', '>=', '18', ''], ['candidates must be between the ages', '<=', '65', '']]"
NCT00021788,Inclusion,candidates must have had iddm for at least 5 years and been under physician care for at least 6 months prior to enrollment in trial.,<VL Label=candidates must have had iddm Source=ngram>candidates must have had iddm</VL> for <VML Logic=greater_equal Unit=years>5</VML> and been under physician care for <VML Logic=greater_equal Unit=months>6</VML> prior to enrollment in trial.,"[['candidates must have had iddm', '>=', '5', 'years'], ['candidates must have had iddm', '>=', '6', 'months']]"
NCT00021788,Inclusion,these symptoms can include episodes of hypoglycemic unawareness (failure to recognize blood glucose levels < 54 mg/dl) or episodes requiring the assistance of others.,these symptoms can include episodes of hypoglycemic unawareness ( failure to recognize <VL Label=finding of blood glucose level Source=UMLS>blood glucose levels</VL> <VML Logic=lower Unit=mg/dl>54</VML> ) or episodes requiring the assistance of others.,"[['finding of blood glucose level', '<', '54', 'mg/dl']]"
NCT00021788,Inclusion,candidates may have poor diabetes control despite intensive insulin therapy (hba1c > 8.0%).,<VL Label=candidates may have poor diabetes control despite intensive insulin therapy Source=ngram>candidates may have poor diabetes control despite intensive insulin therapy</VL> ( hba1c <VML Logic=greater Unit=%>8.0</VML> ) .,"[['candidates may have poor diabetes control despite intensive insulin therapy', '>', '8.0', '%']]"
NCT00021788,Inclusion,creatinine clearance should be > 60 ml/min),creatinine <VL Label=clearance Source=UMLS>clearance</VL> should be <VML Logic=greater Unit=ml/min>60</VML> ) ,"[['clearance', '>', '60', 'ml/min']]"
NCT00021788,Inclusion,body mass index should be less than 26,<VL Label=body mass index (bmi) Source=UMLS>body mass index</VL> should be <VML Logic=lower Unit=>26</VML> ,"[['body mass index (bmi)', '<', '26', '']]"
NCT00021788,Exclusion,"unstable cardiovascular status, including positive stress echocardiography (if > age 35)","unstable cardiovascular status, including positive stress echocardiography ( if > <VL Label=age Source=UMLS>age</VL> <VML Logic=equal Unit=>35</VML> ) ","[['age', '=', '35', '']]"
NCT00021788,Exclusion,presence of panel reactive antibodies > 20%,<VL Label=presence of panel reactive antibodies Source=ngram>presence of panel reactive antibodies</VL> <VML Logic=greater Unit=%>20</VML>,"[['presence of panel reactive antibodies', '>', '20', '%']]"
NCT00021788,Exclusion,creatinine clearance < 60 ml/min,creatinine <VL Label=clearance Source=UMLS>clearance</VL> <VML Logic=lower Unit=ml/min>60</VML>,"[['clearance', '<', '60', 'ml/min']]"
NCT00021788,Exclusion,hba1c 12%,<VL Label=hba1c Source=ngram>hba1c</VL> <VML Logic=equal Unit=%>12</VML>,"[['hba1c', '=', '12', '%']]"
NCT00021788,Exclusion,anemia (hemoglobin < 12.0),anemia ( <VL Label=hemoglobin Source=ngram>hemoglobin</VL> <VML Logic=lower Unit=>12.0</VML> ) ,"[['hemoglobin', '<', '12.0', '']]"
NCT00021788,Exclusion,psa > 4 in males,<VL Label=psa Source=ngram>psa</VL> <VML Logic=greater Unit=>4</VML> in males,"[['psa', '>', '4', '']]"
NCT00021801,Inclusion,candidates must be between the ages of 18 and 50.,<VL Label=candidates must be between the ages Source=ngram>candidates must be between the ages</VL> <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>50</VML> .,"[['candidates must be between the ages', '>=', '18', ''], ['candidates must be between the ages', '<=', '50', '']]"
NCT00021801,Inclusion,candidates must have had insulin-dependent diabetes mellitus (iddm) for at least 5 years and been under physician care for at least 6 months prior to enrollment in trial.,<VL Label=candidates must have had insulin-dependent diabetes mellitus Source=ngram>candidates must have had insulin-dependent diabetes mellitus</VL> ( iddm ) for <VML Logic=greater_equal Unit=years>5</VML> and been under physician care for <VML Logic=greater_equal Unit=months>6</VML> prior to enrollment in trial.,"[['candidates must have had insulin-dependent diabetes mellitus', '>=', '5', 'years'], ['candidates must have had insulin-dependent diabetes mellitus', '>=', '6', 'months']]"
NCT00021801,Inclusion,these symptoms can include episodes of hypoglycemic unawareness (failure to recognize blood glucose levels < 54 mg/dl) or episodes requiring the assistance of others.,these symptoms can include episodes of hypoglycemic unawareness ( failure to recognize <VL Label=finding of blood glucose level Source=UMLS>blood glucose levels</VL> <VML Logic=lower Unit=mg/dl>54</VML> ) or episodes requiring the assistance of others.,"[['finding of blood glucose level', '<', '54', 'mg/dl']]"
NCT00021801,Inclusion,candidates may have poor diabetes control despite intensive insulin therapy (hba1c > 8.0%).,<VL Label=candidates may have poor diabetes control despite intensive insulin therapy Source=ngram>candidates may have poor diabetes control despite intensive insulin therapy</VL> ( hba1c <VML Logic=greater Unit=%>8.0</VML> ) .,"[['candidates may have poor diabetes control despite intensive insulin therapy', '>', '8.0', '%']]"
NCT00021801,Inclusion,creatinine clearance should be > 60 ml/min),creatinine <VL Label=clearance Source=UMLS>clearance</VL> should be <VML Logic=greater Unit=ml/min>60</VML> ) ,"[['clearance', '>', '60', 'ml/min']]"
NCT00021801,Inclusion,body mass index should be less than 26,<VL Label=body mass index (bmi) Source=UMLS>body mass index</VL> should be <VML Logic=lower Unit=>26</VML> ,"[['body mass index (bmi)', '<', '26', '']]"
NCT00021801,Exclusion,"unstable cardiovascular status, including positive stress echocardiography (if > age 35)","unstable cardiovascular status, including positive stress echocardiography ( if > <VL Label=age Source=UMLS>age</VL> <VML Logic=equal Unit=>35</VML> ) ","[['age', '=', '35', '']]"
NCT00021801,Exclusion,presence of panel reactive antibodies > 20%,<VL Label=presence of panel reactive antibodies Source=ngram>presence of panel reactive antibodies</VL> <VML Logic=greater Unit=%>20</VML>,"[['presence of panel reactive antibodies', '>', '20', '%']]"
NCT00021801,Exclusion,creatinine clearance < 60 ml/min,creatinine <VL Label=clearance Source=UMLS>clearance</VL> <VML Logic=lower Unit=ml/min>60</VML>,"[['clearance', '<', '60', 'ml/min']]"
NCT00021801,Exclusion,hba1c > 12%,<VL Label=hba1c Source=ngram>hba1c</VL> <VML Logic=greater Unit=%>12</VML>,"[['hba1c', '>', '12', '%']]"
NCT00021801,Exclusion,anemia (hemoglobin < 12.0),anemia ( <VL Label=hemoglobin Source=ngram>hemoglobin</VL> <VML Logic=lower Unit=>12.0</VML> ) ,"[['hemoglobin', '<', '12.0', '']]"
NCT00021801,Exclusion,psa > 4 in males,<VL Label=psa Source=ngram>psa</VL> <VML Logic=greater Unit=>4</VML> in males,"[['psa', '>', '4', '']]"
NCT00034255,Inclusion,"male and female patients with, type 1 diabetes mellitus that are 18 through 70 years of age or type 2 diabetes mellitus that are 30 through 70 years of age.","male and female patients with, type 1 diabetes mellitus that are <VML Logic=greater_equal Unit=years>18</VML> - <VML Logic=lower_equal Unit=years>70</VML> of <VL Label=age Source=UMLS>age</VL> or type 2 diabetes mellitus that are <VML Logic=greater_equal Unit=years>30</VML> - <VML Logic=lower_equal Unit=years>70</VML> of age.","[['age', '>=', '18', 'years'], ['age', '<=', '70', 'years'], ['age', '>=', '30', 'years'], ['age', '<=', '70', 'years']]"
NCT00034255,Inclusion,patients who have been on stable doses of insulin treatment for 90 days prior to study randomization.,<VL Label=patients who have been on stable doses of insulin treatment Source=ngram>patients who have been on stable doses of insulin treatment</VL> for <VML Logic=equal Unit=days>90</VML> prior to study randomization.,"[['patients who have been on stable doses of insulin treatment', '=', '90', 'days']]"
NCT00034255,Exclusion,patients who have received any investigational product within 30 days of admission into the study.,<VL Label=patients who have received any investigational product Source=ngram>patients who have received any investigational product</VL> <VML Logic=lower Unit=days>30</VML> of admission into the study.,"[['patients who have received any investigational product', '<', '30', 'days']]"
NCT00042458,Inclusion,hba1c value between 7.5-9%,<VL Label=hba1c value Source=ngram>hba1c value</VL> <VML Logic=greater_equal Unit=%>7.5</VML> - <VML Logic=lower_equal Unit=%>9</VML>,"[['hba1c value', '>=', '7.5', '%'], ['hba1c value', '<=', '9', '%']]"
NCT00042471,Inclusion,hba1c value between 6-12%,<VL Label=hba1c value Source=ngram>hba1c value</VL> <VML Logic=greater_equal Unit=%>6</VML> - <VML Logic=lower_equal Unit=%>12</VML>,"[['hba1c value', '>=', '6', '%'], ['hba1c value', '<=', '12', '%']]"
NCT00042471,Inclusion,bmi <= 27 kg/m2 or bmi >=30 to <= 45 kg/m2,<VL Label=body mass index procedure Source=UMLS>bmi</VL> <VML Logic=lower_equal Unit=kg/m2>27</VML> or <VL Label=body mass index procedure Source=UMLS>bmi</VL> <VML Logic=greater_equal Unit=kg/m2>30</VML> - <VML Logic=lower_equal Unit=kg/m2>45</VML>,"[['body mass index procedure', '<=', '27', 'kg/m2'], ['body mass index procedure', '>=', '30', 'kg/m2'], ['body mass index procedure', '<=', '45', 'kg/m2']]"
NCT00042471,Inclusion,consistent insulin regimen for 2 months prior to screening,<VL Label=consistent insulin regimen Source=ngram>consistent insulin regimen</VL> for <VML Logic=equal Unit=months>2</VML> prior to screening,"[['consistent insulin regimen', '=', '2', 'months']]"
NCT00042601,Inclusion,bmi >=20 to <=25kg/m2 or >=30 to <=40 kg/m2,<VL Label=body mass index procedure Source=UMLS>bmi</VL> <VML Logic=greater_equal Unit=kg/m2>20</VML> - <VML Logic=lower_equal Unit=kg/m2>25</VML> or <VML Logic=greater_equal Unit=kg/m2>30</VML> - <VML Logic=lower_equal Unit=kg/m2>40</VML>,"[['body mass index procedure', '>=', '20', 'kg/m2'], ['body mass index procedure', '<=', '25', 'kg/m2'], ['body mass index procedure', '>=', '30', 'kg/m2'], ['body mass index procedure', '<=', '40', 'kg/m2']]"
NCT00042601,Inclusion,treated with insulin for at least 6 months prior to screening,<VL Label=treated with insulin Source=ngram>treated with insulin</VL> for <VML Logic=greater_equal Unit=months>6</VML> prior to screening,"[['treated with insulin', '>=', '6', 'months']]"
NCT00042601,Inclusion,hba1c value between 6.5-10% inclusive,<VL Label=hba1c value Source=ngram>hba1c value</VL> <VML Logic=greater_equal Unit=%>6.5</VML> - <VML Logic=lower_equal Unit=%>10</VML> inclusive,"[['hba1c value', '>=', '6.5', '%'], ['hba1c value', '<=', '10', '%']]"
NCT00042601,Inclusion,bmi between 20-40kg/m2,<VL Label=body mass index procedure Source=UMLS>bmi</VL> <VML Logic=greater_equal Unit=kg/m2>20</VML> - <VML Logic=lower_equal Unit=kg/m2>40</VML>,"[['body mass index procedure', '>=', '20', 'kg/m2'], ['body mass index procedure', '<=', '40', 'kg/m2']]"
NCT00046150,Inclusion,men and women above the age of 18.,men and women above the <VL Label=age Source=UMLS>age</VL> of <VML Logic=equal Unit=>18</VML> .,"[['age', '=', '18', '']]"
NCT00046150,Inclusion,women are either not of childbearing potential (surgically sterile or postmenopausal for more than 2 years) or are not pregnant and agree to use a reliable contraceptive measure for the duration of the study,<VL Label=women are either not of childbearing potential Source=ngram>women are either not of childbearing potential</VL> ( surgically sterile or postmenopausal for <VML Logic=greater Unit=years>2</VML> ) or are not pregnant and agree to use a reliable contraceptive measure for the duration of the study,"[['women are either not of childbearing potential', '>', '2', 'years']]"
NCT00046150,Inclusion,type 1 diabetes mellitus as established in the medical history (for the purpose of this protocol: onset of diabetes under the age of 40 and has required continuous insulin therapy since diagnosis).,type 1 diabetes mellitus as established in the medical history ( for the purpose of this protocol: onset of diabetes under the <VL Label=age Source=UMLS>age</VL> of <VML Logic=equal Unit=>40</VML> and has required continuous insulin therapy since diagnosis ) .,"[['age', '=', '40', '']]"
NCT00046150,Inclusion,use of the same type of external insulin pump (minimed programmable pump or disetronic pump type h tron plus v 100 or d tron) for at least 3 months prior to study entry.,use of the same type of external insulin pump ( <VL Label=minimed programmable pump or disetronic pump type h tron plus v Source=ngram>minimed programmable pump or disetronic pump type h tron plus v</VL> <VML Logic=equal Unit=or d>100</VML> tron ) for <VML Logic=greater_equal Unit=months>3</VML> prior to study entry.,"[['minimed programmable pump or disetronic pump type h tron plus v', '=', '100', 'or d'], ['minimed programmable pump or disetronic pump type h tron plus v', '>=', '3', 'months']]"
NCT00046150,Inclusion,hba1c <8.5% measured at visit 1.,<VL Label=hba1c Source=ngram>hba1c</VL> <VML Logic=lower Unit=%>8.5</VML> measured at visit 1 .,"[['hba1c', '<', '8.5', '%']]"
NCT00046150,Exclusion,"active proliferative diabetic retinopathy, as defined by the application of focal or panretinal photocoagulation or vitrectomy, in the 6 months prior to visit 1 or any other unstable (rapidly progressing) retinopathy that may require surgical treatment (including laser photocoagulation) during the study.","active proliferative diabetic retinopathy, as <VL Label=defined by the application of focal or panretinal photocoagulation or vitrectomy Source=ngram>defined by the application of focal or panretinal photocoagulation or vitrectomy</VL>, <VML Logic=lower_equal Unit=months>6</VML> prior to visit 1 or any other unstable ( rapidly progressing ) retinopathy that may require surgical treatment ( including laser photocoagulation ) during the study.","[['defined by the application of focal or panretinal photocoagulation or vitrectomy', '<=', '6', 'months']]"
NCT00046150,Exclusion,history of serious ketosis episode requiring hospitalization in the 3 previous months.,<VL Label=history of serious ketosis episode requiring hospitalization Source=ngram>history of serious ketosis episode requiring hospitalization</VL> <VML Logic=lower_equal Unit=previous months>3</VML>.,"[['history of serious ketosis episode requiring hospitalization', '<=', '3', 'previous months']]"
NCT00046150,Exclusion,history of abscess at the infusion site in the previous 3 months.,<VL Label=history of abscess at the infusion site Source=ngram>history of abscess at the infusion site</VL> <VML Logic=lower_equal Unit=previous months>3</VML>.,"[['history of abscess at the infusion site', '<=', '3', 'previous months']]"
NCT00046150,Exclusion,"impaired renal function, as shown by but not limited to serum creatinine >177 micromol/l (>2.0 mg/dl) measured at visit 1.","impaired renal function, as shown by but not limited to <VL Label=serum creatinine level Source=UMLS>serum creatinine</VL> <VML Logic=greater Unit=micromol/l>177</VML> ( <VML Logic=greater Unit=mg/dl>2.0</VML> ) measured at visit 1 .","[['serum creatinine level', '>', '177', 'micromol/l'], ['serum creatinine level', '>', '2.0', 'mg/dl']]"
NCT00063128,Inclusion,you are at least 18 years old.,you are <VML Logic=greater_equal Unit=years>18</VML> <VL Label=old Source=ngram>old</VL>.,"[['old', '>=', '18', 'years']]"
NCT00063128,Inclusion,you have had type 1 diabetes for at least 2 years.,you have had <VL Label=type 1 diabetes Source=ngram>type 1 diabetes</VL> for <VML Logic=greater_equal Unit=years>2</VML>.,"[['type 1 diabetes', '>=', '2', 'years']]"
NCT00063128,Inclusion,you have not smoked for at least 1 year and you agree not to smoke or use smokeless tobacco during the study.,you have not <VL Label=smoked Source=ngram>smoked</VL> for <VML Logic=greater_equal Unit=year>1</VML> and you agree not to smoke or use smokeless tobacco during the study.,"[['smoked', '>=', '1', 'year']]"
